"name","gender","ethnicity","age","income","marital.status","years.education","occupation","years.on.earth","birth.world","IQ","height"
"Joshua Willmann","male","indigenous",77,86197,"married",12,"employed",77,"earth",81.275273715196,1.5626853405781
"Davien Kaplan","male","other",30,118743,"single",24,"employed",26,"earth",133.419160072253,1.94507384052986
"Zahraaa el-Farrah","female","arabic",52,62074,"married",11,"employed",13,"earth",102.890577524798,1.61734346514879
"Daija Mccullough","female","black",46,64050,"divorced",17,"employed",16,"earth",97.040211511126,1.58224126906676
"Kasmira Hicks","female","black",40,113806,"married",12,"employed",20,"earth",93.9423512245384,1.56365410734723
"Da'Quan Norwood","male","black",41,53191,"single",14,"employed",18,"earth",93.4793794294773,1.65218211581617
"Radiyya el-Taheri","female","arabic",49,47515,"married",11,"employed",15,"earth",73.0142231813035,1.43808533908782
"Keodara Gottschalk","male","asian",35,39683,"married",18,"employed",29,"earth",110.865607254063,1.77968111986313
"Tyree Gipson","male","black",42,56812,"married",18,"employed",19,"earth",105.325867550599,1.73905636203772
"Rebekah Behrens","female","white",25,41995,"married",12,"employed",17,"earth",73.6117059576515,1.44167023574591
"Soo Ho Gustafson","male","asian",31,94961,"single",18,"employed",28,"earth",116.093520815724,1.81801915264864
"Dajeon Arnold","male","black",41,79447,"married",10,"employed",18,"earth",81.0106858130054,1.56074502929537
"Sirajuddeen el-Wahab","male","arabic",50,70363,"divorced",19,"employed",15,"earth",108.613642223482,1.76316670963886
"Yingying Fitzsimons","female","asian",29,284917,"single",22,"employed",24,"earth",114.816804528633,1.6889008271718
"Alexandria Suta","female","white",25,50805,"married",14,"employed",17,"earth",87.7100530367775,1.52626031822067
"Ryuma Hotchkiss","male","asian",34,77269,"divorced",19,"employed",31,"earth",107.484521707889,1.75488649252452
"Hannah Chu","female","asian",32,144076,"married",22,"employed",31,"earth",118.023220555288,1.70813932333173
"Ciara Stavish","female","white",24,79321,"single",16,"employed",15,"earth",108.586429476648,1.65151857685989
"William Cooper","nonbinary","black",41,56589,"married",16,"employed",19,"earth",74.9654394315965,1.44979263658958
"Soo Ho Causey","male","asian",35,125077,"married",16,"employed",28,"earth",109.447564294361,1.76928213815865
"Shaqeeq el-Chahine","male","arabic",50,114230,"married",22,"employed",15,"earth",120.257648161718,1.84855608651926
"Abdur Razzaaq el-Masri","male","arabic",50,73342,"divorced",16,"employed",14,"earth",99.7278370718796,1.69800413852712
"Khadijah Chau","female","asian",32,42383,"married",18,"employed",31,"earth",119.885963959447,1.71931578375668
"Noora el-Shahin","female","arabic",50,52655,"divorced",9,"employed",15,"earth",76.2939140922836,1.4577634845537
